"Title","Accommodation and Food Service Activities: CVM Index"
"CDID","L2NQ"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","22-12-2025"
"Next release","31 March 2026"
"Important notes",
"1990","86.9"
"1991","81.4"
"1992","77.6"
"1993","78.4"
"1994","79.4"
"1995","81.2"
"1996","79.7"
"1997","81.9"
"1998","81.4"
"1999","82.7"
"2000","82.7"
"2001","82.4"
"2002","85.1"
"2003","87.9"
"2004","92.1"
"2005","94.4"
"2006","92.0"
"2007","91.9"
"2008","91.6"
"2009","84.7"
"2010","87.9"
"2011","92.6"
"2012","92.7"
"2013","99.2"
"2014","95.3"
"2015","93.3"
"2016","99.5"
"2017","105.5"
"2018","103.9"
"2019","105.6"
"2020","65.2"
"2021","84.5"
"2022","103.0"
"2023","100.0"
"2024","99.9"
"1990 Q1","87.9"
"1990 Q2","88.2"
"1990 Q3","86.6"
"1990 Q4","84.8"
"1991 Q1","83.4"
"1991 Q2","82.1"
"1991 Q3","80.2"
"1991 Q4","79.8"
"1992 Q1","77.5"
"1992 Q2","78.3"
"1992 Q3","77.2"
"1992 Q4","77.6"
"1993 Q1","77.5"
"1993 Q2","78.2"
"1993 Q3","79.5"
"1993 Q4","78.2"
"1994 Q1","79.7"
"1994 Q2","78.5"
"1994 Q3","80.2"
"1994 Q4","79.2"
"1995 Q1","79.9"
"1995 Q2","81.9"
"1995 Q3","84.1"
"1995 Q4","78.7"
"1996 Q1","77.4"
"1996 Q2","79.7"
"1996 Q3","80.3"
"1996 Q4","81.4"
"1997 Q1","81.3"
"1997 Q2","81.5"
"1997 Q3","80.8"
"1997 Q4","84.0"
"1998 Q1","81.8"
"1998 Q2","81.1"
"1998 Q3","80.8"
"1998 Q4","81.9"
"1999 Q1","81.8"
"1999 Q2","82.0"
"1999 Q3","82.8"
"1999 Q4","84.3"
"2000 Q1","86.1"
"2000 Q2","83.0"
"2000 Q3","81.6"
"2000 Q4","80.2"
"2001 Q1","80.7"
"2001 Q2","82.4"
"2001 Q3","82.9"
"2001 Q4","83.3"
"2002 Q1","82.5"
"2002 Q2","84.2"
"2002 Q3","86.3"
"2002 Q4","87.3"
"2003 Q1","86.9"
"2003 Q2","87.9"
"2003 Q3","88.8"
"2003 Q4","87.8"
"2004 Q1","91.2"
"2004 Q2","91.7"
"2004 Q3","92.0"
"2004 Q4","93.5"
"2005 Q1","94.6"
"2005 Q2","94.6"
"2005 Q3","93.9"
"2005 Q4","94.6"
"2006 Q1","93.9"
"2006 Q2","93.0"
"2006 Q3","91.6"
"2006 Q4","89.4"
"2007 Q1","90.6"
"2007 Q2","91.8"
"2007 Q3","92.0"
"2007 Q4","93.2"
"2008 Q1","94.5"
"2008 Q2","91.7"
"2008 Q3","91.1"
"2008 Q4","89.2"
"2009 Q1","86.0"
"2009 Q2","86.2"
"2009 Q3","82.5"
"2009 Q4","84.0"
"2010 Q1","85.9"
"2010 Q2","88.0"
"2010 Q3","89.5"
"2010 Q4","88.2"
"2011 Q1","91.1"
"2011 Q2","93.8"
"2011 Q3","93.5"
"2011 Q4","92.0"
"2012 Q1","90.9"
"2012 Q2","90.9"
"2012 Q3","93.6"
"2012 Q4","95.2"
"2013 Q1","98.4"
"2013 Q2","100.1"
"2013 Q3","100.8"
"2013 Q4","97.4"
"2014 Q1","95.4"
"2014 Q2","97.4"
"2014 Q3","94.8"
"2014 Q4","93.4"
"2015 Q1","93.6"
"2015 Q2","92.5"
"2015 Q3","92.3"
"2015 Q4","94.6"
"2016 Q1","96.3"
"2016 Q2","98.8"
"2016 Q3","100.4"
"2016 Q4","102.4"
"2017 Q1","106.0"
"2017 Q2","106.7"
"2017 Q3","107.3"
"2017 Q4","102.2"
"2018 Q1","101.1"
"2018 Q2","103.8"
"2018 Q3","104.4"
"2018 Q4","106.5"
"2019 Q1","105.1"
"2019 Q2","103.5"
"2019 Q3","105.5"
"2019 Q4","108.3"
"2020 Q1","100.4"
"2020 Q2","16.8"
"2020 Q3","85.3"
"2020 Q4","58.1"
"2021 Q1","45.8"
"2021 Q2","85.0"
"2021 Q3","107.6"
"2021 Q4","99.4"
"2022 Q1","103.1"
"2022 Q2","105.8"
"2022 Q3","102.2"
"2022 Q4","101.1"
"2023 Q1","100.0"
"2023 Q2","100.9"
"2023 Q3","99.3"
"2023 Q4","99.8"
"2024 Q1","99.6"
"2024 Q2","100.0"
"2024 Q3","99.3"
"2024 Q4","100.7"
"2025 Q1","99.8"
"2025 Q2","101.8"
"2025 Q3","101.9"
